accountName,firstName,lastName,DOB,maritalStatus,communicationPreferencePerson,communicationPreferenceCompany,phone,marketSegment,address1,state,city,county,zipCode,addressType,agencyCode,producerCode,accountNumberPerson,accountNumberCompany,Comment,primaryEmail
Automation_IN,Automation_IN,Test,12/30/2004,Single,Home Phone,Phone,123-123-2222,Mid-Market,101 E Wasgington Blvd,Indiana,Fort Wayne,Crawford,46802,Business,1657,01657-002 Steven Cork,4001413079,4001413395,NA,automation.test@IN.com
Automation_KY,Automation_KY,Test,7/7/1987,Married,Home Phone,Phone,201-332-1234,Mid-Market,1397 MEADOW BREEZE LN,Kentucky,INDEPENDENCE,Jefferson,40202-2105,Business,1657,01657-002 Steven Cork,4001413413,4001413099,NA,automation.test@KY.com
Automation_OH,Automation_OH,Test,8/8/1989,Divorced,Home Phone,Phone,201-332-1234,Mid-Market,2017 East 9th Street,Ohio,Cleveland,CC,44115,Business,1657,01657-002 Steven Cork,4001413030,4001413351,NA,automation.test@OH.com
Automation_IA,Automation_IA,Test,12/30/1995,Single,Home Phone,Phone,123-123-2222,Mid-Market,914 8th Street Southeast,Iowa,Orange City,AA,51041,Business,1657,01657-002 Steven Cork,4001413024,4001414035,NA,automation.test@IO.com
Automation_IL,Automation_IL,Test,1/1/2000,Single,Home Phone,Phone,123-123-2222,Mid-Market,20 E DELAWARE PL,Illinois,CHICAGO,AA,60611-4938,Business,1657,01657-002 Steven Cork,4001412975,4001412821,NA,automation.test@IL.com
Automation_PA,Automation_PA,Test,1/1/2002,Married,Home Phone,Phone,123-123-2222,Mid-Market,202 E TABOR RD,Pennsylvania,PHILADELPHIA,AA,19120,Business,1657,01657-002 Steven Cork,4001413033,4001037072,NA,automation.test@PA.com
Automation_IN,SALVADOR,BAKER,4/16/1982,Single,Home Phone,Phone,123-123-2222,Mid-Market,219 E WASHINGTON ST,Indiana2,Alexandria,Crawford,46001-2043,Business,1657,01657-002 Steven Cork,4001412851,4000005083,NA,automation.test@IN.com
Automation_WI,TRACIE,JASPER,9/22/1963,Married,Home Phone,Phone,123-123-2222,Mid-Market,1082 APPLE AVE,Wisconsin2,AMERY,Crawford,54001,Business,1657,01657-002 Steven Cork,4001037516,4001413134,NA,automation.test@WI.com
Automation_MN,Automation_MN,Test,1/1/2002,Married,Home Phone,Phone,123-123-2222,Mid-Market,2100 KILLEBREW DR,Minnesota,MINNEAPOLIS,MN,55425-1813,Business,1657,01657-002 Steven Cork,4001412998,4000003639,NA,automation.test@MN.com
Automation_MA,Automation_MA,Test,6/19/1999,Single,Home Phone,Phone,303-890-3378,Mid-Market,45 BRIMMER ST,Massachusetts,BOSTON,Suffolk County,02108-1004,Business,1657,01657-002 Steven Cork,4000005759,4001413130,NA,automation.test@SC.com
